0.000e+000	2.70066e+020
1.000e-003	3.80349e+020
2.000e-003	5.20348e+020
3.000e-003	6.91570e+020
4.000e-003	8.93122e+020
5.000e-003	1.12120e+021
6.000e-003	1.36893e+021
7.000e-003	1.62658e+021
8.000e-003	1.88234e+021
9.000e-003	2.12328e+021
1.000e-002	2.33668e+021
1.100e-002	2.51130e+021
1.200e-002	2.63843e+021
1.300e-002	2.71266e+021
1.400e-002	2.73219e+021
1.500e-002	2.69875e+021
1.600e-002	2.61706e+021
1.700e-002	2.49418e+021
1.800e-002	2.33861e+021
1.900e-002	2.15948e+021
2.000e-002	1.96575e+021
2.100e-002	1.76569e+021
2.200e-002	1.56642e+021
2.300e-002	1.37369e+021
2.400e-002	1.19187e+021
2.500e-002	1.02393e+021
2.600e-002	8.71669e+020
2.700e-002	7.35834e+020
2.800e-002	6.16385e+020
2.900e-002	5.12681e+020
3.000e-002	4.23670e+020
3.100e-002	3.48047e+020
3.200e-002	2.84387e+020
3.300e-002	2.31237e+020
3.400e-002	1.87190e+020
3.500e-002	1.50930e+020
3.600e-002	1.21258e+020
3.700e-002	9.71068e+019
3.800e-002	7.75437e+019
3.900e-002	6.17649e+019
4.000e-002	4.90872e+019
4.100e-002	3.89355e+019
4.200e-002	3.08312e+019
4.300e-002	2.43784e+019
4.400e-002	1.92525e+019
4.500e-002	1.51889e+019
4.600e-002	1.19731e+019
4.700e-002	9.43209e+018
4.800e-002	7.42672e+018
4.900e-002	5.84578e+018
5.000e-002	4.60048e+018
5.100e-002	3.62023e+018
5.200e-002	2.84901e+018
5.300e-002	2.24245e+018
5.400e-002	1.76549e+018
5.500e-002	1.39048e+018
5.600e-002	1.09561e+018
5.700e-002	8.63724e+017
5.800e-002	6.81319e+017
5.900e-002	5.37790e+017
6.000e-002	4.24802e+017
6.100e-002	3.35812e+017
6.200e-002	2.65684e+017
6.300e-002	2.10383e+017
6.400e-002	1.66744e+017
6.500e-002	1.32283e+017
6.600e-002	1.05047e+017
6.700e-002	8.35033e+016
6.800e-002	6.64469e+016
6.900e-002	5.29309e+016
7.000e-002	4.22100e+016
